client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome
0,1,261,0,nonexistent,0
1,1,149,0,nonexistent,0
2,1,226,0,nonexistent,0
3,1,151,0,nonexistent,0
4,1,307,0,nonexistent,0
5,1,198,0,nonexistent,0
6,1,139,0,nonexistent,0
7,1,217,0,nonexistent,0
8,1,380,0,nonexistent,0
9,1,50,0,nonexistent,0
10,1,55,0,nonexistent,0
11,1,222,0,nonexistent,0
12,1,137,0,nonexistent,0
13,1,293,0,nonexistent,0
14,1,146,0,nonexistent,0
15,1,174,0,nonexistent,0
16,1,312,0,nonexistent,0
17,1,440,0,nonexistent,0
18,1,353,0,nonexistent,0
19,1,195,0,nonexistent,0
20,1,38,0,nonexistent,0
21,1,262,0,nonexistent,0
22,1,342,0,nonexistent,0
23,1,181,0,nonexistent,0
24,1,172,0,nonexistent,0
25,1,99,0,nonexistent,0
26,1,93,0,nonexistent,0
27,1,233,0,nonexistent,0
28,2,255,0,nonexistent,0
29,1,362,0,nonexistent,0
30,1,348,0,nonexistent,0
31,1,386,0,nonexistent,0
32,1,73,0,nonexistent,0
33,1,230,0,nonexistent,0
34,1,208,0,nonexistent,0
35,1,336,0,nonexistent,0
36,1,365,0,nonexistent,0
37,1,1666,0,nonexistent,0
38,1,577,0,nonexistent,0
39,1,137,0,nonexistent,0
40,1,366,0,nonexistent,0
41,1,314,0,nonexistent,0
42,1,160,0,nonexistent,0
43,1,212,0,nonexistent,0
44,1,188,0,nonexistent,0
45,1,22,0,nonexistent,0
46,1,616,0,nonexistent,0
47,1,178,0,nonexistent,0
48,1,355,0,nonexistent,0
49,2,225,0,nonexistent,0
50,1,160,0,nonexistent,0
51,1,266,0,nonexistent,0
52,1,253,0,nonexistent,0
53,1,179,0,nonexistent,0
54,2,269,0,nonexistent,0
55,1,135,0,nonexistent,0
56,1,161,0,nonexistent,0
57,1,787,0,nonexistent,0
58,1,145,0,nonexistent,0
59,1,174,0,nonexistent,0
60,1,449,0,nonexistent,0
61,1,812,0,nonexistent,0
62,1,164,0,nonexistent,0
63,1,366,0,nonexistent,0
64,1,357,0,nonexistent,0
65,1,232,0,nonexistent,0
66,1,91,0,nonexistent,0
67,1,273,0,nonexistent,0
68,2,158,0,nonexistent,0
69,1,177,0,nonexistent,0
70,1,200,0,nonexistent,0
71,1,172,0,nonexistent,0
72,1,176,0,nonexistent,0
73,1,211,0,nonexistent,0
74,1,214,0,nonexistent,0
75,1,1575,0,nonexistent,1
76,1,349,0,nonexistent,0
77,2,337,0,nonexistent,0
78,1,272,0,nonexistent,0
79,1,208,0,nonexistent,0
80,1,193,0,nonexistent,0
81,1,212,0,nonexistent,0
82,2,165,0,nonexistent,0
83,1,1042,0,nonexistent,1
84,1,20,0,nonexistent,0
85,1,246,0,nonexistent,0
86,2,529,0,nonexistent,0
87,1,192,0,nonexistent,0
88,1,1467,0,nonexistent,1
89,2,188,0,nonexistent,0
90,2,180,0,nonexistent,0
91,1,48,0,nonexistent,0
92,2,213,0,nonexistent,0
93,1,545,0,nonexistent,0
94,1,583,0,nonexistent,0
95,1,221,0,nonexistent,0
96,1,426,0,nonexistent,0
97,1,287,0,nonexistent,0
98,1,197,0,nonexistent,0
99,1,257,0,nonexistent,0
100,1,229,0,nonexistent,0
101,3,55,0,nonexistent,0
102,1,400,0,nonexistent,0
103,1,197,0,nonexistent,0
104,1,190,0,nonexistent,0
105,1,21,0,nonexistent,0
106,2,300,0,nonexistent,0
107,2,123,0,nonexistent,0
108,1,293,0,nonexistent,0
109,1,325,0,nonexistent,0
110,1,514,0,nonexistent,0
111,2,849,0,nonexistent,0
112,1,194,0,nonexistent,0
113,2,212,0,nonexistent,0
114,2,337,0,nonexistent,0
115,1,286,0,nonexistent,0
116,2,247,0,nonexistent,0
117,1,518,0,nonexistent,0
118,1,364,0,nonexistent,0
119,1,178,0,nonexistent,0
120,1,98,0,nonexistent,0
121,1,439,0,nonexistent,0
122,1,139,0,nonexistent,0
123,1,79,0,nonexistent,0
124,1,175,0,nonexistent,0
125,2,262,0,nonexistent,0
126,1,61,0,nonexistent,0
127,1,78,0,nonexistent,0
128,2,102,0,nonexistent,0
129,1,579,0,nonexistent,1
130,1,143,0,nonexistent,0
131,1,677,0,nonexistent,0
132,1,267,0,nonexistent,0
133,1,345,0,nonexistent,0
134,1,185,0,nonexistent,0
135,1,207,0,nonexistent,0
136,2,69,0,nonexistent,0
137,2,100,0,nonexistent,0
138,2,125,0,nonexistent,0
139,1,461,0,nonexistent,1
140,1,240,0,nonexistent,0
141,1,70,0,nonexistent,0
142,1,193,0,nonexistent,0
143,1,136,0,nonexistent,0
