client_id,age,marital,job,credit_default,education,mortgage
0,56,married,housemaid,0,basic_4y,0
1,57,married,services,unknown,high_school,0
2,37,married,services,0,high_school,1
3,40,married,admin_,0,basic_6y,0
4,56,married,services,0,high_school,0
5,45,married,services,unknown,basic_9y,0
6,59,married,admin_,0,professional_course,0
7,41,married,blue-collar,unknown,,0
8,24,single,technician,0,professional_course,1
9,25,single,services,0,high_school,1
10,41,married,blue-collar,unknown,,0
11,25,single,services,0,high_school,1
12,29,single,blue-collar,0,high_school,0
13,57,divorced,housemaid,0,basic_4y,1
14,35,married,blue-collar,0,basic_6y,1
15,54,married,retired,unknown,basic_9y,1
16,35,married,blue-collar,0,basic_6y,1
17,46,married,blue-collar,unknown,basic_6y,1
18,50,married,blue-collar,0,basic_9y,1
19,39,single,management,unknown,basic_9y,0
20,30,married,unemployed,0,high_school,0
21,55,married,blue-collar,unknown,basic_4y,1
22,55,single,retired,0,high_school,1
23,41,single,technician,0,high_school,1
24,37,married,admin_,0,high_school,1
25,35,married,technician,0,university_degree,0
26,59,married,technician,0,,1
27,39,married,self-employed,unknown,basic_9y,0
28,54,single,technician,unknown,university_degree,0
29,55,married,unknown,unknown,university_degree,unknown
30,46,married,admin_,0,,0
31,59,married,technician,0,,1
32,49,married,blue-collar,0,,0
33,54,married,management,unknown,basic_4y,1
34,54,divorced,blue-collar,0,basic_4y,0
35,55,married,unknown,unknown,basic_4y,1
36,34,married,services,0,high_school,0
37,52,married,technician,0,basic_9y,1
38,41,married,admin_,0,university_degree,1
39,56,married,technician,0,basic_4y,1
40,58,unknown,management,0,university_degree,1
41,32,married,entrepreneur,0,high_school,1
42,38,single,admin_,0,professional_course,0
43,57,married,admin_,0,university_degree,0
44,44,married,admin_,unknown,university_degree,1
45,42,single,technician,unknown,professional_course,0
46,57,married,admin_,0,university_degree,1
47,40,married,blue-collar,0,basic_9y,0
48,35,married,admin_,0,university_degree,1
49,45,married,blue-collar,0,basic_9y,1
50,54,married,admin_,0,high_school,0
51,39,married,housemaid,0,basic_4y,0
52,60,married,admin_,0,high_school,0
53,53,single,admin_,0,professional_course,0
54,55,married,blue-collar,unknown,basic_4y,0
55,55,married,technician,unknown,professional_course,1
56,50,married,management,unknown,university_degree,0
57,45,married,services,unknown,high_school,1
58,55,married,unemployed,unknown,professional_course,1
59,25,single,technician,0,university_degree,1
60,47,married,entrepreneur,unknown,university_degree,0
61,51,married,blue-collar,0,basic_9y,1
62,42,married,blue-collar,unknown,basic_6y,1
63,42,married,blue-collar,unknown,basic_6y,0
64,48,married,admin_,0,high_school,0
65,37,married,admin_,0,university_degree,0
66,44,single,blue-collar,0,basic_9y,1
67,33,married,admin_,0,,1
68,56,married,admin_,0,basic_9y,1
69,44,single,blue-collar,unknown,basic_4y,1
70,41,married,management,0,basic_6y,0
71,44,divorced,management,0,university_degree,1
72,47,married,admin_,unknown,university_degree,1
73,57,married,unknown,unknown,,0
74,37,married,admin_,unknown,university_degree,1
75,41,divorced,blue-collar,unknown,basic_4y,1
76,55,married,technician,0,university_degree,0
77,33,married,services,unknown,high_school,1
78,55,married,management,unknown,,1
79,42,married,blue-collar,unknown,basic_9y,0
80,50,married,blue-collar,unknown,basic_4y,1
81,51,married,blue-collar,unknown,basic_4y,unknown
82,38,married,admin_,unknown,high_school,0
83,49,married,entrepreneur,unknown,university_degree,1
84,38,single,technician,0,university_degree,0
85,31,divorced,admin_,0,high_school,0
86,41,married,management,0,basic_6y,0
87,39,married,admin_,0,university_degree,1
88,49,married,technician,0,basic_9y,0
89,34,married,admin_,0,high_school,1
90,35,married,admin_,0,university_degree,1
91,57,married,unknown,unknown,,1
92,60,married,admin_,unknown,,0
93,33,married,unemployed,0,basic_9y,0
94,42,married,blue-collar,0,basic_6y,0
95,45,married,services,0,professional_course,1
96,42,married,management,0,university_degree,0
97,53,divorced,admin_,unknown,university_degree,0
98,37,single,technician,0,professional_course,0
99,44,married,blue-collar,0,basic_6y,0
100,54,married,services,0,,1
101,49,married,blue-collar,0,basic_4y,0
102,54,married,services,0,,0
103,52,divorced,admin_,0,university_degree,0
104,52,divorced,admin_,0,university_degree,0
105,43,single,services,unknown,high_school,0
106,34,married,housemaid,0,basic_6y,1
107,35,married,admin_,0,high_school,1
108,42,married,entrepreneur,unknown,,1
109,43,married,technician,unknown,,1
110,60,divorced,retired,unknown,university_degree,0
111,58,married,unemployed,unknown,basic_4y,0
112,35,divorced,services,0,high_school,1
113,55,married,blue-collar,unknown,basic_9y,1
114,37,married,management,0,university_degree,0
115,36,married,blue-collar,0,high_school,0
116,52,divorced,admin_,0,university_degree,0
117,57,divorced,blue-collar,unknown,,1
118,56,married,admin_,0,,1
119,48,divorced,blue-collar,unknown,basic_4y,1
120,40,married,blue-collar,unknown,high_school,1
121,49,divorced,blue-collar,0,high_school,0
122,41,married,services,0,high_school,0
123,45,married,technician,0,high_school,1
124,32,married,admin_,0,university_degree,1
125,42,married,admin_,0,university_degree,0
